"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получить список заказов без авторизации, проверить код ответа, статус и текст ошибки","99","Получить заказы неавторизованного пользователя","tests.orders","Mon Aug 04 15:32:08 MSK 2025","passed","Mon Aug 04 15:32:08 MSK 2025","TestUserOrders","test_get_user_orders","",""
"Получить валидные ID ингредиентов, создать заказ, проверить код ответа","120","Создание заказа неавторизованным пользователем (ОШИБКА В ДОКУМЕНТАЦИИ: ОЖИДАНИЕ - ОШИБКА, ФАКТ - УСПЕХ)","tests.orders","Mon Aug 04 15:32:02 MSK 2025","passed","Mon Aug 04 15:32:02 MSK 2025","TestOrderCreation","test_create_order","",""
"Создать и авторизоваться пользователем, создать заказ с невалидным ингредиентом, проверить код ответа","461","Создание заказа авторизованным пользователем с невалидным ингредиентом","tests.orders","Mon Aug 04 15:32:03 MSK 2025","passed","Mon Aug 04 15:32:04 MSK 2025","TestOrderCreation","test_create_order","",""
"Зарегистрировать пользователя, проверить код ответа, статус и наличие accessToken","167","Регистрация пользователя с уникальными учетными данными","tests.user","Mon Aug 04 15:32:10 MSK 2025","passed","Mon Aug 04 15:32:11 MSK 2025","TestUserRegistration","test_register_user","",""
"Параметризацией выбрать пропускаемое поле, зарегистрировать пользователя, проверить код ответа, статус и тект ошибки","110","Регистрация пользователя с неполными учетными данными","tests.user","Mon Aug 04 15:32:12 MSK 2025","passed","Mon Aug 04 15:32:12 MSK 2025","TestUserRegistration","test_register_user","",""
"Зарегистрировать Пользователя-1 с уникальными учетными данными, зарегистрировать Пользователя-2 с e-mail Пользователя-1, проверить код ответа, статус и текст ошибки","310","Регистрация пользователя с неуникальными учетными данными (пользователь с таким email уже есть)","tests.user","Mon Aug 04 15:32:11 MSK 2025","passed","Mon Aug 04 15:32:12 MSK 2025","TestUserRegistration","test_register_user","",""
"Создать и авторизоваться пользователем, отправить корректные обновленные данные, проверить код ответа, статус, сверить учетные данные из ответа","508","Обновить пользовательские данные авторизованного пользователя","tests.user","Mon Aug 04 15:32:13 MSK 2025","passed","Mon Aug 04 15:32:13 MSK 2025","TestUserUpdate","test_update_user","",""
"Зарегистрировать пользователя, залогиниться пользователем с неверным паролем, проверить код ответа, статус и текст ошибки","327","Логин пользователя с некорректными учетными данными","tests.user","Mon Aug 04 15:32:09 MSK 2025","passed","Mon Aug 04 15:32:10 MSK 2025","TestUserLogin","test_login_user","",""
"Создать и авторизоваться пользователем, получить валидные ID ингредиентов, создать заказ, получить список заказов пользователя, проверить код ответа, статус и сверить номер заказа","3266","Получить заказы авторизованного пользователя","tests.orders","Mon Aug 04 15:32:04 MSK 2025","passed","Mon Aug 04 15:32:07 MSK 2025","TestUserOrders","test_get_user_orders","",""
"Отправить корректные обновленные данные (имя) без авторизации, проверить код ответа, статус и текст ошибки","77","Обновить пользовательские данные неавторизованного пользователя","tests.user","Mon Aug 04 15:32:13 MSK 2025","passed","Mon Aug 04 15:32:13 MSK 2025","TestUserUpdate","test_update_user","",""
"Параметризацией выбрать пропускаемое поле, зарегистрировать пользователя, проверить код ответа, статус и тект ошибки","84","Регистрация пользователя с неполными учетными данными","tests.user","Mon Aug 04 15:32:12 MSK 2025","passed","Mon Aug 04 15:32:13 MSK 2025","TestUserRegistration","test_register_user","",""
"Создать и авторизоваться пользователем, получить валидные ID ингредиентов, создать заказ без ингредиентов, проверить код ответа, статус и текст ошибки","462","Создание заказа авторизованным пользователем без указания ингредиентов","tests.orders","Mon Aug 04 15:32:02 MSK 2025","passed","Mon Aug 04 15:32:02 MSK 2025","TestOrderCreation","test_create_order","",""
"Зарегистрировать пользователя, залогиниться пользователем, проверить код ответа, статус и наличие accessToken","375","Логин пользователя с корректными учетными данными","tests.user","Mon Aug 04 15:32:08 MSK 2025","passed","Mon Aug 04 15:32:09 MSK 2025","TestUserLogin","test_login_user","",""
"Создать и авторизоваться пользователем, получить валидные ID ингредиентов, создать заказ, проверить код ответа, статус и наличие номера заказа","2784","Создание заказа авторизованным пользователем","tests.orders","Mon Aug 04 15:31:58 MSK 2025","passed","Mon Aug 04 15:32:01 MSK 2025","TestOrderCreation","test_create_order","",""
"Параметризацией выбрать пропускаемое поле, зарегистрировать пользователя, проверить код ответа, статус и тект ошибки","99","Регистрация пользователя с неполными учетными данными","tests.user","Mon Aug 04 15:32:13 MSK 2025","passed","Mon Aug 04 15:32:13 MSK 2025","TestUserRegistration","test_register_user","",""
